=========================================================
Simulación de Ecuación de Calor 2D - LAB 12
Dimensiones del dominio: Lx = 1.0, Ly = 1.0
Malla computacional: Nx = 50, Ny = 50
Paso espacial (h): 0.02000
Coeficiente de difusividiad (kappa): 1.0
Factor de estabilidad (r): 0.2
Paso temporal calculado (dt): 0.000080000000 s
Número total de pasos temporales (num_steps): 1250
Paso    0 / 1250 | t = 0.000000 s | Snapshot (T_max = 10.0000)
Paso   20 / 1250 | t = 0.001600 s | Snapshot (T_max = 10.0000)
Paso   40 / 1250 | t = 0.003200 s | Snapshot (T_max = 10.0000)
Paso   60 / 1250 | t = 0.004800 s | Snapshot (T_max = 10.0000)
Paso   80 / 1250 | t = 0.006400 s | Snapshot (T_max = 10.0000)
Paso  100 / 1250 | t = 0.008000 s | Snapshot (T_max = 10.0000)
Paso  120 / 1250 | t = 0.009600 s | Snapshot (T_max = 10.0000)
Paso  140 / 1250 | t = 0.011200 s | Snapshot (T_max = 10.0000)
Paso  160 / 1250 | t = 0.012800 s | Snapshot (T_max = 10.0000)
Paso  180 / 1250 | t = 0.014400 s | Snapshot (T_max = 10.0000)
Paso  200 / 1250 | t = 0.016000 s | Snapshot (T_max = 10.0000)
Paso  220 / 1250 | t = 0.017600 s | Snapshot (T_max = 10.0000)
Paso  240 / 1250 | t = 0.019200 s | Snapshot (T_max = 10.0000)
Paso  260 / 1250 | t = 0.020800 s | Snapshot (T_max = 10.0000)
Paso  280 / 1250 | t = 0.022400 s | Snapshot (T_max = 10.0000)
Paso  300 / 1250 | t = 0.024000 s | Snapshot (T_max = 10.0000)
Paso  320 / 1250 | t = 0.025600 s | Snapshot (T_max = 10.0000)
Paso  340 / 1250 | t = 0.027200 s | Snapshot (T_max = 10.0000)
Paso  360 / 1250 | t = 0.028800 s | Snapshot (T_max = 10.0000)
Paso  380 / 1250 | t = 0.030400 s | Snapshot (T_max = 10.0000)
Paso  400 / 1250 | t = 0.032000 s | Snapshot (T_max = 10.0000)
Paso  420 / 1250 | t = 0.033600 s | Snapshot (T_max = 10.0000)
Paso  440 / 1250 | t = 0.035200 s | Snapshot (T_max = 10.0000)
Paso  460 / 1250 | t = 0.036800 s | Snapshot (T_max = 10.0000)
Paso  480 / 1250 | t = 0.038400 s | Snapshot (T_max = 10.0000)
Paso  500 / 1250 | t = 0.040000 s | Snapshot (T_max = 10.0000)
Paso  520 / 1250 | t = 0.041600 s | Snapshot (T_max = 10.0000)
Paso  540 / 1250 | t = 0.043200 s | Snapshot (T_max = 10.0000)
Paso  560 / 1250 | t = 0.044800 s | Snapshot (T_max = 10.0000)
Paso  580 / 1250 | t = 0.046400 s | Snapshot (T_max = 10.0000)
Paso  600 / 1250 | t = 0.048000 s | Snapshot (T_max = 10.0000)
Paso  620 / 1250 | t = 0.049600 s | Snapshot (T_max = 10.0000)
Paso  640 / 1250 | t = 0.051200 s | Snapshot (T_max = 10.0000)
Paso  660 / 1250 | t = 0.052800 s | Snapshot (T_max = 10.0000)
Paso  680 / 1250 | t = 0.054400 s | Snapshot (T_max = 10.0000)
Paso  700 / 1250 | t = 0.056000 s | Snapshot (T_max = 10.0000)
Paso  720 / 1250 | t = 0.057600 s | Snapshot (T_max = 10.0000)
Paso  740 / 1250 | t = 0.059200 s | Snapshot (T_max = 10.0000)
Paso  760 / 1250 | t = 0.060800 s | Snapshot (T_max = 10.0000)
Paso  780 / 1250 | t = 0.062400 s | Snapshot (T_max = 10.0000)
Paso  800 / 1250 | t = 0.064000 s | Snapshot (T_max = 10.0000)
Paso  820 / 1250 | t = 0.065600 s | Snapshot (T_max = 10.0000)
Paso  840 / 1250 | t = 0.067200 s | Snapshot (T_max = 10.0000)
Paso  860 / 1250 | t = 0.068800 s | Snapshot (T_max = 10.0000)
Paso  880 / 1250 | t = 0.070400 s | Snapshot (T_max = 10.0000)
Paso  900 / 1250 | t = 0.072000 s | Snapshot (T_max = 10.0000)
Paso  920 / 1250 | t = 0.073600 s | Snapshot (T_max = 10.0000)
Paso  940 / 1250 | t = 0.075200 s | Snapshot (T_max = 10.0000)
Paso  960 / 1250 | t = 0.076800 s | Snapshot (T_max = 10.0000)
Paso  980 / 1250 | t = 0.078400 s | Snapshot (T_max = 10.0000)
Paso 1000 / 1250 | t = 0.080000 s | Snapshot (T_max = 10.0000)
Paso 1020 / 1250 | t = 0.081600 s | Snapshot (T_max = 10.0000)
Paso 1040 / 1250 | t = 0.083200 s | Snapshot (T_max = 10.0000)
Paso 1060 / 1250 | t = 0.084800 s | Snapshot (T_max = 10.0000)
Paso 1080 / 1250 | t = 0.086400 s | Snapshot (T_max = 10.0000)
Paso 1100 / 1250 | t = 0.088000 s | Snapshot (T_max = 10.0000)
Paso 1120 / 1250 | t = 0.089600 s | Snapshot (T_max = 10.0000)
Paso 1140 / 1250 | t = 0.091200 s | Snapshot (T_max = 10.0000)
Paso 1160 / 1250 | t = 0.092800 s | Snapshot (T_max = 10.0000)
Paso 1180 / 1250 | t = 0.094400 s | Snapshot (T_max = 10.0000)
Paso 1200 / 1250 | t = 0.096000 s | Snapshot (T_max = 10.0000)
Paso 1220 / 1250 | t = 0.097600 s | Snapshot (T_max = 10.0000)
Paso 1240 / 1250 | t = 0.099200 s | Snapshot (T_max = 10.0000)
